registration,make,model,procSpeed
9gYnqJa,Alienware,Area-51,3.0
tXRu8xJ,Lenovo,Legion,3.2
yomRtE5,Razer,Blade,3.7
LnU3jeZ,Razer,Blade,3.1
m2VWIAx,Razer,Blade,3.7
NsUqSRS,Lenovo,Legion,3.6
IUWqSUl,Lenovo,Legion,3.2
HfhdyCy,Razer,Blade,3.7
h1OXnAg,Razer,Blade,3.1
1rFiIBx,HP,Omen,3.0
H8NIgpv,Asus,ROG,3.3
QFT1UTc,Razer,Blade,3.5
JWeQtKX,Lenovo,Legion,3.6
vrnEMpE,MSI,Raider,3.5
YGK7Brb,Acer,Predator,3.6
go1p1Be,MSI,Raider,3.0
LcEcLYy,Razer,Blade,3.3
GcRNhMp,MSI,Raider,3.7
fHExsBm,Razer,Blade,3.7
UwPfH2r,Razer,Blade,3.4
Va7vYmr,Razer,Blade,3.7
BWwDL3j,HP,Omen,3.7
Pav0lMb,Acer,Predator,3.2
BESZsNx,Razer,Blade,3.5
SQikowU,Alienware,Area-51,3.2
ZGzDnaG,Lenovo,Legion,3.5
8YUUMJu,Razer,Blade,3.6
k32Fa62,Razer,Blade,3.7
KIn27Uu,Lenovo,Legion,3.4
OzXzPVT,Razer,Blade,3.5
alVt7UZ,Lenovo,Legion,3.7
ze3lgOW,Razer,Blade,3.3
F1KfjzO,Razer,Blade,3.6
wKi1obA,Razer,Blade,3.2
w1vA20B,Acer,Predator,3.1
eWJUpsQ,Acer,Predator,3.8
01WOD6g,Razer,Blade,3.7
roscm1B,Acer,Predator,3.0
lfHLTM0,MSI,Raider,3.6
jeVmJAA,HP,Omen,3.2
b6cJf6F,Razer,Blade,3.6
WkKac13,Razer,Blade,3.2
y2HGeyx,Asus,ROG,3.2
ThHLTIG,Acer,Predator,3.8
Co7YBQj,Alienware,Area-51,3.5
9j6UFRr,HP,Omen,3.4
GgOyX6P,Razer,Blade,3.0
NVD9sM5,Razer,Blade,3.5
ecyiYj3,Lenovo,Legion,3.7
zcwSSxI,Razer,Blade,3.7
j7W36S5,Razer,Blade,3.0
1vATYGm,Razer,Blade,3.8
nEMZTth,Alienware,Area-51,3.3
ecXSoZl,MSI,Raider,3.5
Z1l4PLH,Razer,Blade,3.3
OAi1b1V,HP,Omen,3.8
BmMHCYi,Razer,Blade,3.0
6IrS3yC,Razer,Blade,3.7
Jf3WqsQ,Asus,ROG,3.4
VhQDzhW,MSI,Raider,3.0
1Eo5c1L,Razer,Blade,3.3
eqjYnyx,Razer,Blade,3.6
IZPVrSN,Razer,Blade,3.0
UrOJIZF,Razer,Blade,3.4
z8RTfng,Razer,Blade,3.2
NWD9UZU,Razer,Blade,3.6
v12PcKk,Razer,Blade,3.4
Fi5FTw4,Razer,Blade,3.7
fZblCrH,Razer,Blade,3.5
qKS92cu,Razer,Blade,3.7
HKFkbpj,Acer,Predator,3.7
y1EPorm,Razer,Blade,3.1
GzV7JaV,HP,Omen,3.8
6vGRJom,Asus,ROG,3.2
juyspUM,Lenovo,Legion,3.2
jlEgVBA,Lenovo,Legion,3.7
BEWdRPm,Razer,Blade,3.5
XQzE8nV,Acer,Predator,3.4
Y0knzYW,Lenovo,Legion,3.0
ijA9uDe,Razer,Blade,3.7
dL06z5f,Razer,Blade,3.6
B3zX1Ad,Razer,Blade,3.7
dRTIyXp,Razer,Blade,3.0
u7Am5hd,Razer,Blade,3.4
Aa6fnha,Razer,Blade,3.4
QHhtYUd,MSI,Raider,3.4
2Qzfi07,Razer,Blade,3.6
dSXUxw1,Razer,Blade,3.3
Pzi1NjT,Razer,Blade,3.4
CGBJONW,Razer,Blade,3.6
lwYr4GS,Lenovo,Legion,3.1
OBZ15S2,HP,Omen,3.6
QYG3wga,Razer,Blade,3.7
1pzOsuz,MSI,Raider,3.4
FB1QSg1,Alienware,Area-51,3.3
MSvmY2K,Razer,Blade,3.7
zK0y6vL,Razer,Blade,3.0
Egc4S3I,Alienware,Area-51,3.8
RAXotcO,Razer,Blade,3.4
6bGN0nt,Lenovo,Legion,3.6
cX4gbtl,Razer,Blade,3.7
3e7kguu,Razer,Blade,3.7
jY8HTtL,MSI,Raider,3.5
jeVBqSi,Razer,Blade,3.4
bGOgDJS,Alienware,Area-51,3.3
PeXfDEw,Acer,Predator,3.6
L01Qbdg,Razer,Blade,3.0
1AYHeBm,Lenovo,Legion,3.0
B0YgBv4,Asus,ROG,3.6
vWTXfEF,HP,Omen,3.6
YVxSvvV,MSI,Raider,3.7
xWjozNt,Alienware,Area-51,3.0
KgBEi69,Acer,Predator,3.1
a7Q5AGO,Razer,Blade,3.1
HKqEox2,Acer,Predator,3.5
mcjMhAl,Razer,Blade,3.2
k3HGqXk,Razer,Blade,3.4
urVVtj6,Razer,Blade,3.4
qP5mQO2,Razer,Blade,3.3
SY93N9V,Lenovo,Legion,3.3
p6hqo07,Razer,Blade,3.2
4RJAem0,Razer,Blade,3.8
1gUOPhc,Razer,Blade,3.2
XTlNBDI,Acer,Predator,3.0
s9AhIkb,HP,Omen,3.8
SYaTCgB,Razer,Blade,3.6
idZkXAq,Alienware,Area-51,3.7
ddyGyGF,Razer,Blade,3.8
hWaYD8Z,Razer,Blade,3.6
efMIqrK,Razer,Blade,3.6
hSGOmN8,MSI,Raider,3.6
de1W4lL,Razer,Blade,3.5
6fSAJbg,Razer,Blade,3.2
FLJwnm9,Razer,Blade,3.2
bSXOC3r,Razer,Blade,3.2
7JyQQRw,MSI,Raider,3.3
tjyEu7D,Razer,Blade,3.6
lDEBUBp,Razer,Blade,3.6
W3HWQUE,Razer,Blade,3.4
NWVnTBF,Razer,Blade,3.7
AtHvQtH,Razer,Blade,3.1
6oKWgS6,Razer,Blade,3.2
exiaUQ5,Razer,Blade,3.2
3idwIHE,MSI,Raider,3.8
9BowVKZ,Razer,Blade,3.6
4a708sF,MSI,Raider,3.4
DgIvFzl,MSI,Raider,3.5
TZekFaN,Razer,Blade,3.2
SzCsuR9,Razer,Blade,3.6
EYCpx02,Razer,Blade,3.4
uYDv3rM,Razer,Blade,3.8
QIsjOQT,HP,Omen,3.2
w22BqqN,Razer,Blade,3.0
g0bAaSQ,Lenovo,Legion,3.6
S4UKYi3,Razer,Blade,3.5
d0iL7mU,Asus,ROG,3.0
2jrCoxz,Razer,Blade,3.3
Tz25Xd7,Razer,Blade,3.0
YsvAgOQ,Razer,Blade,3.3
z8Mt8Ic,Razer,Blade,3.4
r5Qe8KP,Razer,Blade,3.8
KXXMG99,Razer,Blade,3.2
X92GzVn,Razer,Blade,3.4
ASFmKim,Asus,ROG,3.6
Pc3kRnr,Razer,Blade,3.1
r0zMvmf,Razer,Blade,3.0
uTmKiBB,Razer,Blade,3.4
1qvXVus,Razer,Blade,3.6
nZXDVam,Razer,Blade,3.1
Ng0n1RG,Razer,Blade,3.1
VxpKvOU,Razer,Blade,3.0
dBYJnZ4,Lenovo,Legion,3.2
HBlZjIr,Asus,ROG,3.4
MdWrpuc,Razer,Blade,3.6
YDkytWN,Acer,Predator,3.0
7qz4JSX,HP,Omen,3.3
JozBZHx,Razer,Blade,3.7
XV0dVZ8,Razer,Blade,3.8
pAlRwLg,Razer,Blade,3.3
haaBPL5,MSI,Raider,3.7
lxMRWvV,HP,Omen,3.0
19Asa0r,Asus,ROG,3.3
SexVFh5,MSI,Raider,3.0
oFMGyG9,Asus,ROG,3.5
4mlG9LK,Acer,Predator,3.8
b3zyxrH,Razer,Blade,3.0
ZUYJ3t7,Lenovo,Legion,3.1
TzRN6sm,Razer,Blade,3.3
io0gY2l,MSI,Raider,3.3
BIhPkZe,Razer,Blade,3.3
eUSEcCI,Razer,Blade,3.6
CXuC5kn,Razer,Blade,3.0
tz6SSZN,Razer,Blade,3.5
lr287AV,HP,Omen,3.8
Z71lOI6,Razer,Blade,3.2
cFrEIi6,Razer,Blade,3.4
caMGZFj,Lenovo,Legion,3.6
PaOqs9F,Asus,ROG,3.3
UPHHC67,Acer,Predator,3.7
DSyrO94,Razer,Blade,3.0
zz8zRJP,Razer,Blade,3.3
F7UXbYd,Razer,Blade,3.8
hmsRvv7,Razer,Blade,3.8
FcuaO82,Acer,Predator,3.6
kFWdMdV,Acer,Predator,3.2
fQn1xDT,Acer,Predator,3.3
s8aCLyJ,Acer,Predator,3.1
aJloRca,Razer,Blade,3.6
ygLyRij,Razer,Blade,3.0
dvnO6HI,Razer,Blade,3.1
Fhi3OF7,Razer,Blade,3.1
WWDF6z1,Razer,Blade,3.7
knyuecV,Razer,Blade,3.3
Tz1sIH2,Razer,Blade,3.0
bg2JZUz,Acer,Predator,3.6
lmD6cqK,Razer,Blade,3.2
SOkL67K,Razer,Blade,3.0
dNZCgh5,HP,Omen,3.4
KK8VjsH,Razer,Blade,3.2
gebUfty,Razer,Blade,3.8
yOClDPp,Razer,Blade,3.0
JWlODoJ,Razer,Blade,3.2
41noFW0,HP,Omen,3.8
5TESRlJ,Razer,Blade,3.2
pbgqyKa,Razer,Blade,3.2
FgdD9b8,Razer,Blade,3.5
BVGP8Ap,Razer,Blade,3.0
BiJUTSH,Razer,Blade,3.0
UE9r0HI,Lenovo,Legion,3.2
0cqCUG7,Razer,Blade,3.1
PXGGj6v,Acer,Predator,3.3
wFdnWey,Razer,Blade,3.6
xIlnLLk,Alienware,Area-51,3.7
AQeVJFa,Razer,Blade,3.8
RhgdOgF,Alienware,Area-51,3.2
e8vYapc,Acer,Predator,3.1
YbygzmR,Razer,Blade,3.5
WyT6nbo,Razer,Blade,3.7
6JdqJbK,Razer,Blade,3.8
m7T62Lu,Razer,Blade,3.5
TwSFHaS,Acer,Predator,3.6
0z0KvU0,Razer,Blade,3.6
OXTUrer,Razer,Blade,3.7
Df6kj8l,Razer,Blade,3.0
boYuxDR,Razer,Blade,3.4
xBpbith,Razer,Blade,3.5
oO1eFw0,Razer,Blade,3.0
tTxp0fQ,MSI,Raider,3.6
HOHiCZ1,Razer,Blade,3.2
TgzCSlV,Razer,Blade,3.5
58FknRz,Lenovo,Legion,3.7
yFuXIfd,Alienware,Area-51,3.3
cL3OKRC,Razer,Blade,3.6
nb3YGOT,Razer,Blade,3.8
t50h3lm,Razer,Blade,3.6
wP4MvL4,Acer,Predator,3.0
NkSrrXZ,Razer,Blade,3.2
yIDvp6w,Razer,Blade,3.2
d0OCAiR,Razer,Blade,3.7
dFTWVxH,HP,Omen,3.2
z5uGAO2,Razer,Blade,3.7
PQLfMmG,MSI,Raider,3.0
JBuHMNA,Razer,Blade,3.1
QATFDpU,Razer,Blade,3.7
pLeY5U1,Acer,Predator,3.7
GvKUb5G,Razer,Blade,3.3
y6bFsn1,Lenovo,Legion,3.3
6FvZIx4,Razer,Blade,3.8
p71CGnG,HP,Omen,3.7
lrhcRWd,Asus,ROG,3.5
L6HypA3,Razer,Blade,3.8
L43oa13,Alienware,Area-51,3.6
yPFNwLy,Acer,Predator,3.3
njE4qgr,MSI,Raider,3.0
zlpXvDt,Alienware,Area-51,3.4
tdFiQNq,Razer,Blade,3.8
YhNKSZP,Razer,Blade,3.5
yI7Z1Ql,HP,Omen,3.7
TPmeQZW,Asus,ROG,3.6
cHvln0I,HP,Omen,3.1
Dq3SN8F,Razer,Blade,3.3
ptkunIJ,Razer,Blade,3.4
s3Hn0bZ,Alienware,Area-51,3.1
x8RTSrh,Razer,Blade,3.3
9XRDlgf,Razer,Blade,3.3
Nh2wTST,Razer,Blade,3.5
CscmXug,MSI,Raider,3.4
ZvpDw1w,MSI,Raider,3.8
TI4rmTU,Acer,Predator,3.2
CllQGqj,Razer,Blade,3.0
meoidv2,Razer,Blade,3.2
b1dyCpw,Alienware,Area-51,3.7
FKczmev,Razer,Blade,3.6
hW5rAyG,Razer,Blade,3.8
WAUtyc1,Razer,Blade,3.7
MlkX1AK,MSI,Raider,3.6
4xd1SXw,Alienware,Area-51,3.4
SCYIUWE,Lenovo,Legion,3.8
sOzjMwa,HP,Omen,3.6
qIWxrRz,Acer,Predator,3.3
YDrTpQr,Razer,Blade,3.3
JB7cWgB,Razer,Blade,3.6
eGXhJeT,Lenovo,Legion,3.5
gZmAbiz,Razer,Blade,3.0
ocmxOIu,Razer,Blade,3.1
1ged66l,Acer,Predator,3.8
Q12EiGm,Acer,Predator,3.7
K7QfWka,Razer,Blade,3.8
2CuUQmL,Razer,Blade,3.0
Zvv1LiT,Acer,Predator,3.0
MFqhuDR,Razer,Blade,3.2
SwmTMch,Acer,Predator,3.5
X6SVckA,HP,Omen,3.2
48QocUM,Razer,Blade,3.6
2TxgMvd,Razer,Blade,3.4
CUOQK1z,Acer,Predator,3.4
QkBSZ7u,HP,Omen,3.3
LECodZh,MSI,Raider,3.6
dwMVZbS,Razer,Blade,3.5
tr4h71g,Razer,Blade,3.1
rzYMXQH,HP,Omen,3.3
ueDQHbP,Razer,Blade,3.5
izwNqUl,Razer,Blade,3.7
vdqGXWI,Razer,Blade,3.7
gcvql5B,Lenovo,Legion,3.2
l2sd8lt,Asus,ROG,3.3
a3AbFyp,Asus,ROG,3.0
XrjaEbZ,HP,Omen,3.0
LE6kxz7,Acer,Predator,3.4
Bb2Bpyj,Razer,Blade,3.8
K9WtNk3,Razer,Blade,3.6
1AAtnAK,Alienware,Area-51,3.4
aQQ0TDo,Razer,Blade,3.5
wTkz7CZ,Razer,Blade,3.2
jjNLz9K,Asus,ROG,3.8
UAymUPq,Acer,Predator,3.1
XdA0lqm,Razer,Blade,3.2
IHbdIr1,Razer,Blade,3.2
1vkreqz,Alienware,Area-51,3.2
ilHtwpr,MSI,Raider,3.4
HWt84QR,Acer,Predator,3.5
pSn2VDH,Lenovo,Legion,3.7
nxYGc51,Razer,Blade,3.6
HzX0y9u,Razer,Blade,3.6
THubuRW,Acer,Predator,3.4
1SvvSwn,Razer,Blade,3.1
JAWEBsr,HP,Omen,3.4
oMqIWZE,Razer,Blade,3.7
md0kOc3,Razer,Blade,3.7
25KOrrN,Razer,Blade,3.3
WJD0GZm,Razer,Blade,3.2
FO63O4G,Acer,Predator,3.1
m0lmtml,Razer,Blade,3.2
yI4drdg,Alienware,Area-51,3.8
OuHxjiB,Razer,Blade,3.3
ejCJkkQ,Razer,Blade,3.2
KWWuyvo,Razer,Blade,3.5
UtZpHGO,Alienware,Area-51,3.2
xrcozsm,Acer,Predator,3.1
yUvK98k,Lenovo,Legion,3.2
apK5UBb,Razer,Blade,3.4
9LN15aA,Alienware,Area-51,3.0
JWSavuQ,Razer,Blade,3.7
R2JKB7a,Razer,Blade,3.0
HQezO0l,Razer,Blade,3.4
hpylM70,Razer,Blade,3.2
UdlWGzM,Razer,Blade,3.8
5UZocLI,Razer,Blade,3.5
U6dqPlw,MSI,Raider,3.8
AIsV6aL,Razer,Blade,3.7
GSFJhRb,Razer,Blade,3.7
ZWDZ4Zq,MSI,Raider,3.4
Z66Nmp5,Razer,Blade,3.6
UNEfJ8M,Razer,Blade,3.3
P1QH6rp,Razer,Blade,3.6
6RcgWUw,Acer,Predator,3.3
AFytHlx,Razer,Blade,3.8
ePOkf2j,Lenovo,Legion,3.8
DZbctRw,Razer,Blade,3.4
hiRaAV8,MSI,Raider,3.3
vn778G8,Razer,Blade,3.5
ooeJawP,HP,Omen,3.5
Ey97Cs3,Razer,Blade,3.5
04mu2Xp,MSI,Raider,3.4
et7i1qz,Asus,ROG,3.4
Gdah6VB,Razer,Blade,3.3
9oqZ7Pd,Lenovo,Legion,3.0
izH9MFM,Lenovo,Legion,3.6
c6g4Ttd,MSI,Raider,3.1
ZRV9nNb,HP,Omen,3.5
CsM3D3E,Razer,Blade,3.5
G06NeCI,Razer,Blade,3.7
EFSxYPg,Razer,Blade,3.4
OspWuJj,MSI,Raider,3.8
nxPEs64,Razer,Blade,3.1
AxKJGiT,MSI,Raider,3.1
b16ipmx,Lenovo,Legion,3.1
H7805gK,Razer,Blade,3.2
NHzsP7c,Razer,Blade,3.6
EJRbN4f,Razer,Blade,3.7
nx4jyFl,Razer,Blade,3.0
JNIpO9O,Razer,Blade,3.0
LP6HGDH,Razer,Blade,3.3
Dmuo3Ln,HP,Omen,3.8
XjwVu6T,Razer,Blade,3.0
C27s3vH,Razer,Blade,3.7
YBVKKgJ,HP,Omen,3.6
yePcfpo,MSI,Raider,3.8
4vM90Dg,Acer,Predator,3.7
L2uZCPN,MSI,Raider,3.7
CEbyHbu,Lenovo,Legion,3.2
1i3JKak,Asus,ROG,3.5
QfkZ9hc,MSI,Raider,3.5
7zwzCmb,Razer,Blade,3.1
clyvzDO,HP,Omen,3.5
cn9jpR1,Razer,Blade,3.3
l8DXXr5,Razer,Blade,3.2
Ctdy3bt,Razer,Blade,3.6
gB1JdN2,Razer,Blade,3.4
CfM4w8e,Acer,Predator,3.8
uh0I85Y,Razer,Blade,3.4
jdf9dQF,Razer,Blade,3.6
cLMugLR,Razer,Blade,3.5
Ys5Ey7y,Razer,Blade,3.7
YvxUfIs,Alienware,Area-51,3.0
yyDqEMX,Razer,Blade,3.5
J3qGN0L,Lenovo,Legion,3.1
YHYQ4yQ,HP,Omen,3.2
Weo9tMg,Lenovo,Legion,3.0
8Y3qX8b,Lenovo,Legion,3.5
bqROdmZ,Razer,Blade,3.8
GJr2GWo,Razer,Blade,3.8
Mlr5T5O,Razer,Blade,3.3
zJHwQIQ,Razer,Blade,3.6
oHfEhAf,Razer,Blade,3.3
GWzf1E2,Razer,Blade,3.7
LYXxzqi,Razer,Blade,3.5
ZC9C1go,Lenovo,Legion,3.7
vQwCLMR,Razer,Blade,3.1
WEesHGd,Lenovo,Legion,3.2
pDmcjD7,Razer,Blade,3.2
F1QCQl0,Razer,Blade,3.2
n24XTbm,Lenovo,Legion,3.2
dIzsqcz,Razer,Blade,3.5
NS6oMQy,Razer,Blade,3.7
hz8SprA,Razer,Blade,3.8
chlTDUN,HP,Omen,3.7
QrwN00z,Asus,ROG,3.6
tbwm7e5,MSI,Raider,3.2
4VU8Bc5,Alienware,Area-51,3.1
N4e3M8B,MSI,Raider,3.4
z8tpcff,Razer,Blade,3.5
sJ7VbCj,Asus,ROG,3.3
7rFYJ8W,Razer,Blade,3.8
Cl13yJr,MSI,Raider,3.4
6NuPa1D,Razer,Blade,3.1
eqRbT0l,HP,Omen,3.5
tjcystv,Lenovo,Legion,3.1
MUW3cNN,Lenovo,Legion,3.7
bvwSg4x,MSI,Raider,3.2
6v0iWJT,Razer,Blade,3.3
KtiEBrY,Razer,Blade,3.4
sS4Qqvx,Razer,Blade,3.8
sF4DdPR,Razer,Blade,3.2
p0PoD3Z,Razer,Blade,3.4
WThEDJ2,Razer,Blade,3.3
alJyGz8,Razer,Blade,3.7
80XhjSs,Razer,Blade,3.0
tCviMXl,Lenovo,Legion,3.3
DXpo6er,Razer,Blade,3.6
pLbXWS4,Razer,Blade,3.4
mkJ2fF8,HP,Omen,3.6
zzDI2si,Lenovo,Legion,3.4
fm78wLp,Razer,Blade,3.4
iawP7lC,Razer,Blade,3.5
16Na2ao,Razer,Blade,3.0
kk9FKU3,Razer,Blade,3.1
05UchcB,Razer,Blade,3.7
pLubjXS,Alienware,Area-51,3.5
N6ip7oh,Razer,Blade,3.4
C7SGcXh,Razer,Blade,3.6
njxdk5E,Razer,Blade,3.7
o4rgwmJ,Razer,Blade,3.6
PnbjAt1,Razer,Blade,3.7
XOFgPBH,MSI,Raider,3.4
dEYWcGZ,Lenovo,Legion,3.1
fig2LjO,Acer,Predator,3.5
rF8MWPw,Razer,Blade,3.4
XLIxNxS,Razer,Blade,3.7
tJ28Hyu,Razer,Blade,3.8
PqGggoN,Asus,ROG,3.4
MMiTxve,Razer,Blade,3.0
iP5mJDx,MSI,Raider,3.6
bNQPzcr,Razer,Blade,3.7
XhUoRo2,Razer,Blade,3.8
ByRJyZV,Razer,Blade,3.6
KyKO61e,Alienware,Area-51,3.3
xxvOus8,MSI,Raider,3.1
rS4CJw9,Razer,Blade,3.6
GZdaHZT,Razer,Blade,3.7
zCL0rrY,Lenovo,Legion,3.3
6JyhuyP,Razer,Blade,3.6
tsQodM0,MSI,Raider,3.5
4fxerBL,Razer,Blade,3.3
N7PuESV,Razer,Blade,3.5
u0QZBh1,Razer,Blade,3.0
h7jGBdb,Asus,ROG,3.2
UOkOrBy,Alienware,Area-51,3.8
mYJ8gcp,Razer,Blade,3.5
uWQibAY,Razer,Blade,3.4
eW2nm5k,Razer,Blade,3.4
boSgzVU,Asus,ROG,3.8
Dz9xo8A,Razer,Blade,3.1
4FW1NJr,Acer,Predator,3.0
5J6nOWT,Razer,Blade,3.3
hPDwGGv,Asus,ROG,3.2
JPO3rue,Razer,Blade,3.0
egOzubJ,Razer,Blade,3.2
WWuIFdE,Razer,Blade,3.2
4us9SXu,Alienware,Area-51,3.1
TWGbgNC,Razer,Blade,3.2
fC3V8l5,Razer,Blade,3.6
wS3l3b1,Razer,Blade,3.4
syOqQ5y,MSI,Raider,3.1
nAakKaH,HP,Omen,3.8
CDsXEMn,Alienware,Area-51,3.5
LYuiLAo,Alienware,Area-51,3.2
yuIj2nO,Razer,Blade,3.3
v4haXrB,Razer,Blade,3.8
tPpxecR,Razer,Blade,3.3
heImAQD,Razer,Blade,3.1
Yg95AZq,Razer,Blade,3.0
Y4Q0Lc2,Asus,ROG,3.7
OOTxdX6,Razer,Blade,3.7
Qwlh3H9,Razer,Blade,3.7
TEEFljG,HP,Omen,3.2
SbDVC8D,Razer,Blade,3.1
aWacHp7,Razer,Blade,3.1
YJGHXoR,Alienware,Area-51,3.6
ZwBgp3s,Razer,Blade,3.8
nAkheWF,Razer,Blade,3.0
G9PrWNG,MSI,Raider,3.0
bU0KGWQ,Razer,Blade,3.5
rXJYYNa,Razer,Blade,3.4
qU5qtW6,Acer,Predator,3.6
WvUlemi,Asus,ROG,3.2
JTm7lxf,Razer,Blade,3.7
dhnoeZ7,Razer,Blade,3.3
4F1Yvce,HP,Omen,3.2
QwCddCF,MSI,Raider,3.5
0AirfmE,Razer,Blade,3.7
6VgW87T,Acer,Predator,3.4
90QdKYA,Razer,Blade,3.7
9CWAaNH,Razer,Blade,3.3
Xj8556H,Razer,Blade,3.0
SBrh0Yp,Lenovo,Legion,3.6
EGwh2u1,Razer,Blade,3.7
FF4XfVz,Razer,Blade,3.1
h7jJdgW,Razer,Blade,3.2
Vi3u36I,Razer,Blade,3.6
SYhnXNk,Alienware,Area-51,3.4
4ywFDkK,Asus,ROG,3.6
f84hzDk,Alienware,Area-51,3.1
0iGCaAo,MSI,Raider,3.3
EAz1cto,HP,Omen,3.2
0Jn3VUx,Lenovo,Legion,3.0
198l3PN,MSI,Raider,3.5
npXfiyA,MSI,Raider,3.1
6dujjLc,Razer,Blade,3.3
odvZaQ6,Razer,Blade,3.4
lO6sfeA,Razer,Blade,3.3
svTOght,Lenovo,Legion,3.3
ATZW8dP,Razer,Blade,3.8
ifxF5nV,Razer,Blade,3.2
xHRIEgj,Acer,Predator,3.7
gUO9jMt,Razer,Blade,3.3
mqF1F1I,Razer,Blade,3.0
PcQU5ty,Razer,Blade,3.0
EsSOL9K,Razer,Blade,3.7
N8DVQLH,Acer,Predator,3.0
TLxQwX6,Razer,Blade,3.6
npoeP81,Razer,Blade,3.7
ORp6GYR,Razer,Blade,3.2
Rqg46nR,Razer,Blade,3.7
2xk8kOi,Lenovo,Legion,3.6
Hnoz9Ih,Razer,Blade,3.6
K1CvRIs,Razer,Blade,3.5
ZP2ymhi,Alienware,Area-51,3.3
i8CnMKn,Razer,Blade,3.8
jr0JaCF,Razer,Blade,3.4
LmayGly,Alienware,Area-51,3.6
1r3o8Dc,Lenovo,Legion,3.8
vH3g4Ko,HP,Omen,3.7
Ncnu8ll,Razer,Blade,3.1
eI9038R,HP,Omen,3.1
tjudhBP,Alienware,Area-51,3.5
DurIdRB,Razer,Blade,3.0
CORBsbr,Razer,Blade,3.2
E8O85P8,Razer,Blade,3.2
6F33SKJ,Lenovo,Legion,3.7
eBjchBV,Asus,ROG,3.5
6byyFjH,Razer,Blade,3.7
sTQ5FgE,Lenovo,Legion,3.7
Ysv8wsp,Asus,ROG,3.0
WlwfhQU,MSI,Raider,3.3
g01APwW,MSI,Raider,3.5
FrligOD,Razer,Blade,3.4
qHwAZJQ,Razer,Blade,3.7
nH6tgVu,Razer,Blade,3.3
WYdY5cB,Asus,ROG,3.3
kgM1YI1,Lenovo,Legion,3.3
XPN3AIq,Asus,ROG,3.5
jbb252c,Alienware,Area-51,3.5
8KIn9ev,Razer,Blade,3.5
KVBwls0,HP,Omen,3.1
wpxEa4i,Lenovo,Legion,3.0
Tlf7Ryv,Razer,Blade,3.3
Bcgci7W,Razer,Blade,3.4
ewD2RgT,Acer,Predator,3.0
HnaTvf8,Razer,Blade,3.8
rTEhonz,MSI,Raider,3.2
PLlgbEX,Lenovo,Legion,3.0
t1vNS4W,Asus,ROG,3.4
iyZH0Vj,Razer,Blade,3.5
BKmgQrY,HP,Omen,3.5
Ve4lEgW,Razer,Blade,3.0
3I82MqF,Asus,ROG,3.4
L5JD4ss,Lenovo,Legion,3.1
YrvGnAW,Razer,Blade,3.5
TwaeoJh,Razer,Blade,3.1
Whf2jx0,Razer,Blade,3.3
sib56lT,Razer,Blade,3.7
myZ8yuC,Razer,Blade,3.6
0rJOnTM,Razer,Blade,3.8
b9CT19R,Razer,Blade,3.4
kmNkCrg,Razer,Blade,3.5
dryMtaB,Razer,Blade,3.1
8tZDacO,HP,Omen,3.3
AxdEfzi,Asus,ROG,3.2
nenybLJ,Lenovo,Legion,3.4
1m4GZmz,Razer,Blade,3.0
iNILRdU,Razer,Blade,3.0
IAUgktb,Alienware,Area-51,3.1
lVNwDd5,Razer,Blade,3.0
M4Nhjw4,Alienware,Area-51,3.0
R2WsaVZ,Razer,Blade,3.3
75CF0lW,HP,Omen,3.4
8sonLZZ,Razer,Blade,3.0
FH7OVwt,Asus,ROG,3.1
u186Zat,Alienware,Area-51,3.2
VpwyTC6,HP,Omen,3.4
tTkIhKC,MSI,Raider,3.5
dEid47z,Razer,Blade,3.0
Z3wgV9R,Razer,Blade,3.3
DjJVToC,Razer,Blade,3.3
p8X01Kl,MSI,Raider,3.7
mxofb19,Alienware,Area-51,3.8
tOt66QA,Alienware,Area-51,3.4
uM3izfZ,Razer,Blade,3.1
6WS1amk,Razer,Blade,3.4
H3PPcG6,Alienware,Area-51,3.4
s03blvI,Razer,Blade,3.7
ZRwScO2,Razer,Blade,3.5
b7SwjgG,Razer,Blade,3.3
yFrUlcJ,Razer,Blade,3.3
WMqPV6j,Razer,Blade,3.8
35FlMU0,MSI,Raider,3.4
YcfyAGC,Razer,Blade,3.0
jTCbIYe,MSI,Raider,3.0
v3MTnOb,Razer,Blade,3.7
SbdIqXa,Lenovo,Legion,3.1
bIUr9lw,Razer,Blade,3.4
CjUZLy4,Razer,Blade,3.5
kIheo8g,Razer,Blade,3.8
TYYhbOQ,Razer,Blade,3.7
S4AHVmK,Razer,Blade,3.8
ZWNVCcj,Razer,Blade,3.0
CSszwft,Razer,Blade,3.1
ZtwIkSm,Razer,Blade,3.2
Zim3MFM,Razer,Blade,3.7
tzJX1Bs,Acer,Predator,3.2
zFtIxa4,Lenovo,Legion,3.1
pfMsYwr,Razer,Blade,3.1
S3CQGpa,Alienware,Area-51,3.0
GXGlGZP,Razer,Blade,3.3
MPjlNL1,Lenovo,Legion,3.3
ZX8SsBB,Razer,Blade,3.4
Jx7W9pj,HP,Omen,3.8
xJkkOCs,Asus,ROG,3.5
Y6YOYMT,Razer,Blade,3.0
hAIemUi,Razer,Blade,3.8
Fe2A7z1,Razer,Blade,3.2
wPN07Wu,MSI,Raider,3.0
MnsX0yB,Razer,Blade,3.3
ng58Jf9,MSI,Raider,3.2
rowSO4Y,Asus,ROG,3.3
vU6FCmO,Acer,Predator,3.1
b3xPXHb,Razer,Blade,3.1
